filename,cls,xymin,xymax,names
ILSVRC2012_val_00048943,n01753488,"(0, 61)","(397, 405)","horned viper, cerastes, sand viper, horned asp, Cerastes cornutus"
ILSVRC2012_val_00048942,n03197337,"(259, 4)","(481, 267)",digital watch
ILSVRC2012_val_00048941,n04208210,"(253, 193)","(401, 326)",shovel
ILSVRC2012_val_00048940,n02134084,"(60, 35)","(114, 89)","ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus"
ILSVRC2012_val_00048939,n02483362,"(63, 23)","(286, 410)","gibbon, Hylobates lar"
ILSVRC2012_val_00048938,n04153751,"(181, 174)","(346, 295)",screw
ILSVRC2012_val_00048937,n07697537,"(1, 31)","(498, 338)","hotdog, hot dog, red hot"
ILSVRC2012_val_00048936,n02894605,"(1, 117)","(498, 251)","breakwater, groin, groyne, mole, bulwark, seawall, jetty"
ILSVRC2012_val_00048935,n03544143,"(107, 50)","(166, 166)",hourglass
ILSVRC2012_val_00048934,n11939491,"(151, 24)","(657, 535)",daisy
ILSVRC2012_val_00048933,n03445924,"(54, 135)","(343, 471)","golfcart, golf cart"
ILSVRC2012_val_00048932,n02492660,"(131, 91)","(554, 476)","howler monkey, howler"
ILSVRC2012_val_00048931,n04229816,"(126, 12)","(203, 100)",ski mask
ILSVRC2012_val_00048930,n03937543,"(0, 0)","(498, 498)",pill bottle
ILSVRC2012_val_00048929,n03016953,"(145, 14)","(479, 323)","chiffonier, commode"
ILSVRC2012_val_00048928,n13054560,"(24, 72)","(256, 381)",bolete
ILSVRC2012_val_00048927,n04204238,"(90, 88)","(366, 251)",shopping basket
ILSVRC2012_val_00048926,n04579432,"(437, 398)","(1872, 1584)",whistle
ILSVRC2012_val_00048925,n02090622,"(207, 65)","(481, 265)","borzoi, Russian wolfhound"
ILSVRC2012_val_00048924,n01685808,"(20, 135)","(314, 458)","whiptail, whiptail lizard"
ILSVRC2012_val_00048923,n04065272,"(2, 80)","(444, 262)","recreational vehicle, RV, R.V."
ILSVRC2012_val_00048922,n02106550,"(0, 0)","(499, 374)",Rottweiler
ILSVRC2012_val_00048921,n01983481,"(184, 11)","(418, 395)","American lobster, Northern lobster, Maine lobster, Homarus americanus"
ILSVRC2012_val_00048920,n02536864,"(108, 202)","(208, 451)","coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch"
ILSVRC2012_val_00048919,n03000684,"(23, 47)","(456, 253)","chain saw, chainsaw"
ILSVRC2012_val_00048918,n03764736,"(136, 46)","(198, 155)",milk can
ILSVRC2012_val_00048917,n07831146,"(41, 0)","(499, 374)",carbonara
ILSVRC2012_val_00048916,n02797295,"(58, 101)","(155, 335)","barrow, garden cart, lawn cart, wheelbarrow"
ILSVRC2012_val_00048915,n02088094,"(157, 221)","(290, 397)","Afghan hound, Afghan"
ILSVRC2012_val_00048914,n02102040,"(83, 125)","(281, 430)","English springer, English springer spaniel"
ILSVRC2012_val_00048913,n01773157,"(86, 136)","(234, 353)","black and gold garden spider, Argiope aurantia"
ILSVRC2012_val_00048912,n03868242,"(51, 117)","(529, 445)",oxcart
ILSVRC2012_val_00048911,n03476684,"(246, 90)","(421, 429)",hair slide
ILSVRC2012_val_00048910,n04404412,"(73, 50)","(390, 306)","television, television system"
ILSVRC2012_val_00048909,n01675722,"(69, 46)","(390, 268)",banded gecko
ILSVRC2012_val_00048908,n02002724,"(107, 69)","(446, 336)","black stork, Ciconia nigra"
ILSVRC2012_val_00048907,n01806567,"(11, 64)","(419, 422)",quail
ILSVRC2012_val_00048906,n03347037,"(45, 31)","(348, 459)","fire screen, fireguard"
ILSVRC2012_val_00048905,n04204347,"(88, 1)","(418, 372)",shopping cart
ILSVRC2012_val_00048904,n02096177,"(7, 7)","(492, 492)","cairn, cairn terrier"
ILSVRC2012_val_00048903,n02910353,"(266, 220)","(291, 240)",buckle
ILSVRC2012_val_00048902,n01945685,"(11, 25)","(323, 473)",slug
ILSVRC2012_val_00048901,n04429376,"(98, 141)","(290, 410)",throne
ILSVRC2012_val_00048900,n04200800,"(51, 2)","(472, 251)","shoe shop, shoe-shop, shoe store"
ILSVRC2012_val_00048899,n03457902,"(0, 0)","(499, 374)","greenhouse, nursery, glasshouse"
ILSVRC2012_val_00048898,n04069434,"(63, 157)","(167, 226)",reflex camera
ILSVRC2012_val_00048897,n02492660,"(593, 5)","(3066, 2286)","howler monkey, howler"
ILSVRC2012_val_00048896,n03291819,"(30, 81)","(444, 297)",envelope
ILSVRC2012_val_00048895,n02268443,"(17, 46)","(477, 418)","dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk"
ILSVRC2012_val_00048894,n02169497,"(266, 164)","(353, 254)","leaf beetle, chrysomelid"
ILSVRC2012_val_00048893,n03710637,"(30, 20)","(373, 498)",maillot
ILSVRC2012_val_00048892,n02361337,"(23, 68)","(311, 423)",marmot
ILSVRC2012_val_00048891,n03041632,"(25, 96)","(108, 281)","cleaver, meat cleaver, chopper"
ILSVRC2012_val_00048890,n01491361,"(28, 108)","(414, 320)","tiger shark, Galeocerdo cuvieri"
ILSVRC2012_val_00048889,n04133789,"(81, 97)","(212, 324)",sandal
ILSVRC2012_val_00048888,n02027492,"(127, 49)","(483, 256)","red-backed sandpiper, dunlin, Erolia alpina"
ILSVRC2012_val_00048887,n01734418,"(158, 82)","(443, 228)","king snake, kingsnake"
ILSVRC2012_val_00048886,n03089624,"(18, 16)","(152, 96)","confectionery, confectionary, candy store"
ILSVRC2012_val_00048885,n02835271,"(7, 146)","(481, 374)","bicycle-built-for-two, tandem bicycle, tandem"
ILSVRC2012_val_00048884,n02879718,"(107, 16)","(720, 636)",bow
ILSVRC2012_val_00048883,n02132136,"(57, 61)","(791, 642)","brown bear, bruin, Ursus arctos"
ILSVRC2012_val_00048882,n03063599,"(276, 152)","(355, 227)",coffee mug
ILSVRC2012_val_00048881,n04153751,"(395, 131)","(528, 203)",screw
ILSVRC2012_val_00048880,n12998815,"(41, 26)","(366, 297)",agaric
ILSVRC2012_val_00048879,n03637318,"(110, 0)","(314, 257)","lampshade, lamp shade"
ILSVRC2012_val_00048878,n03467068,"(115, 66)","(201, 342)",guillotine
ILSVRC2012_val_00048877,n02009912,"(40, 45)","(458, 297)","American egret, great white heron, Egretta albus"
ILSVRC2012_val_00048876,n03018349,"(75, 61)","(349, 358)","china cabinet, china closet"
ILSVRC2012_val_00048875,n03063599,"(125, 212)","(407, 488)",coffee mug
ILSVRC2012_val_00048874,n02099267,"(229, 61)","(483, 429)",flat-coated retriever
ILSVRC2012_val_00048873,n03709823,"(36, 3)","(367, 267)","mailbag, postbag"
ILSVRC2012_val_00048872,n02808304,"(158, 58)","(479, 434)",bath towel
ILSVRC2012_val_00048871,n02793495,"(0, 2)","(499, 374)",barn
ILSVRC2012_val_00048870,n04118776,"(236, 8)","(363, 457)","rule, ruler"
ILSVRC2012_val_00048869,n12057211,"(125, 219)","(257, 380)","yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum"
ILSVRC2012_val_00048868,n04371430,"(141, 404)","(290, 493)","swimming trunks, bathing trunks"
ILSVRC2012_val_00048867,n04553703,"(16, 110)","(499, 374)","washbasin, handbasin, washbowl, lavabo, wash-hand basin"
ILSVRC2012_val_00048866,n03956157,"(95, 116)","(346, 328)",planetarium
ILSVRC2012_val_00048865,n04239074,"(4, 181)","(74, 281)",sliding door
ILSVRC2012_val_00048864,n01443537,"(159, 1)","(475, 187)","goldfish, Carassius auratus"
ILSVRC2012_val_00048863,n03461385,"(1, 0)","(499, 374)","grocery store, grocery, food market, market"
ILSVRC2012_val_00048862,n03496892,"(121, 36)","(447, 332)","harvester, reaper"
ILSVRC2012_val_00048861,n02071294,"(73, 97)","(399, 270)","killer whale, killer, orca, grampus, sea wolf, Orcinus orca"
ILSVRC2012_val_00048860,n03544143,"(150, 16)","(450, 586)",hourglass
ILSVRC2012_val_00048859,n02105855,"(68, 59)","(499, 257)","Shetland sheepdog, Shetland sheep dog, Shetland"
ILSVRC2012_val_00048858,n02100735,"(98, 65)","(497, 330)",English setter
ILSVRC2012_val_00048857,n03920288,"(0, 1)","(496, 498)",Petri dish
ILSVRC2012_val_00048856,n03207941,"(0, 0)","(331, 498)","dishwasher, dish washer, dishwashing machine"
ILSVRC2012_val_00048855,n02487347,"(0, 11)","(388, 558)",macaque
ILSVRC2012_val_00048854,n03207743,"(1, 1)","(476, 498)","dishrag, dishcloth"
ILSVRC2012_val_00048853,n03028079,"(2, 0)","(499, 374)","church, church building"
ILSVRC2012_val_00048852,n03991062,"(296, 212)","(426, 317)","pot, flowerpot"
ILSVRC2012_val_00048851,n03873416,"(70, 61)","(225, 163)","paddle, boat paddle"
ILSVRC2012_val_00048850,n04133789,"(45, 93)","(258, 397)",sandal
ILSVRC2012_val_00048849,n07860988,"(172, 241)","(340, 328)",dough
ILSVRC2012_val_00048848,n04111531,"(233, 112)","(319, 183)",rotisserie
ILSVRC2012_val_00048847,n03729826,"(209, 160)","(240, 213)",matchstick
ILSVRC2012_val_00048846,n01807496,"(89, 71)","(491, 325)",partridge
ILSVRC2012_val_00048845,n04074963,"(28, 129)","(473, 256)","remote control, remote"
ILSVRC2012_val_00048844,n03903868,"(121, 254)","(254, 395)","pedestal, plinth, footstall"
ILSVRC2012_val_00048843,n03935335,"(18, 83)","(363, 402)","piggy bank, penny bank"
ILSVRC2012_val_00048842,n02109525,"(1, 1)","(404, 374)","Saint Bernard, St Bernard"
ILSVRC2012_val_00048841,n07697313,"(100, 152)","(498, 485)",cheeseburger
ILSVRC2012_val_00048840,n01443537,"(157, 129)","(381, 276)","goldfish, Carassius auratus"
ILSVRC2012_val_00048839,n02808440,"(0, 48)","(499, 374)","bathtub, bathing tub, bath, tub"
ILSVRC2012_val_00048838,n01833805,"(89, 319)","(329, 424)",hummingbird
ILSVRC2012_val_00048837,n01983481,"(19, 119)","(472, 298)","American lobster, Northern lobster, Maine lobster, Homarus americanus"
ILSVRC2012_val_00048836,n04265275,"(60, 95)","(316, 395)",space heater
ILSVRC2012_val_00048835,n04317175,"(125, 125)","(293, 318)",stethoscope
ILSVRC2012_val_00048834,n02100236,"(38, 181)","(253, 477)",German short-haired pointer
ILSVRC2012_val_00048833,n07714990,"(81, 232)","(190, 346)",broccoli
ILSVRC2012_val_00048832,n02536864,"(2, 343)","(322, 440)","coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch"
ILSVRC2012_val_00048831,n04209133,"(206, 38)","(291, 95)",shower cap
ILSVRC2012_val_00048830,n02110185,"(1, 12)","(328, 413)",Siberian husky
ILSVRC2012_val_00048829,n01537544,"(87, 62)","(273, 289)","indigo bunting, indigo finch, indigo bird, Passerina cyanea"
ILSVRC2012_val_00048828,n01698640,"(216, 110)","(386, 215)","American alligator, Alligator mississipiensis"
ILSVRC2012_val_00048827,n02281787,"(133, 157)","(620, 587)","lycaenid, lycaenid butterfly"
ILSVRC2012_val_00048826,n03494278,"(78, 215)","(118, 283)","harmonica, mouth organ, harp, mouth harp"
ILSVRC2012_val_00048825,n01796340,"(53, 47)","(392, 498)",ptarmigan
ILSVRC2012_val_00048824,n01828970,"(144, 166)","(338, 333)",bee eater
ILSVRC2012_val_00048823,n07875152,"(79, 93)","(375, 399)",potpie
ILSVRC2012_val_00048822,n12057211,"(148, 0)","(421, 392)","yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum"
ILSVRC2012_val_00048821,n03887697,"(119, 16)","(283, 288)",paper towel
ILSVRC2012_val_00048820,n03041632,"(23, 22)","(487, 326)","cleaver, meat cleaver, chopper"
ILSVRC2012_val_00048819,n03793489,"(25, 111)","(231, 298)","mouse, computer mouse"
ILSVRC2012_val_00048818,n02108551,"(6, 16)","(488, 438)",Tibetan mastiff
ILSVRC2012_val_00048817,n02488291,"(31, 1)","(108, 78)",langur
ILSVRC2012_val_00048816,n03459775,"(303, 244)","(371, 265)","grille, radiator grille"
ILSVRC2012_val_00048815,n07880968,"(96, 17)","(385, 498)",burrito
ILSVRC2012_val_00048814,n02009229,"(270, 152)","(453, 278)","little blue heron, Egretta caerulea"
ILSVRC2012_val_00048813,n03026506,"(260, 56)","(465, 433)",Christmas stocking
ILSVRC2012_val_00048812,n04141975,"(23, 318)","(336, 485)","scale, weighing machine"
ILSVRC2012_val_00048811,n04540053,"(438, 22)","(565, 148)",volleyball
ILSVRC2012_val_00048810,n02319095,"(61, 87)","(1178, 1165)",sea urchin
ILSVRC2012_val_00048809,n03992509,"(137, 225)","(323, 355)",potter's wheel
ILSVRC2012_val_00048808,n01990800,"(159, 166)","(281, 242)",isopod
ILSVRC2012_val_00048807,n03840681,"(3, 43)","(424, 224)","ocarina, sweet potato"
ILSVRC2012_val_00048806,n03447447,"(86, 358)","(175, 498)",gondola
ILSVRC2012_val_00048805,n03658185,"(1, 4)","(436, 373)","letter opener, paper knife, paperknife"
ILSVRC2012_val_00048804,n02666196,"(2, 52)","(302, 487)",abacus
ILSVRC2012_val_00048803,n07754684,"(108, 205)","(233, 411)","jackfruit, jak, jack"
ILSVRC2012_val_00048802,n02033041,"(102, 145)","(326, 327)",dowitcher
ILSVRC2012_val_00048801,n02104365,"(29, 14)","(419, 367)",schipperke
ILSVRC2012_val_00048800,n01770393,"(18, 45)","(476, 312)",scorpion
ILSVRC2012_val_00048799,n04389033,"(43, 98)","(438, 319)","tank, army tank, armored combat vehicle, armoured combat vehicle"
ILSVRC2012_val_00048798,n11879895,"(3, 263)","(497, 333)",rapeseed
ILSVRC2012_val_00048797,n03970156,"(256, 113)","(486, 280)","plunger, plumber's helper"
ILSVRC2012_val_00048796,n02860847,"(0, 177)","(656, 368)","bobsled, bobsleigh, bob"
ILSVRC2012_val_00048795,n06794110,"(65, 2)","(324, 70)",street sign
ILSVRC2012_val_00048794,n02071294,"(218, 92)","(240, 132)","killer whale, killer, orca, grampus, sea wolf, Orcinus orca"
ILSVRC2012_val_00048793,n03970156,"(53, 112)","(436, 218)","plunger, plumber's helper"
ILSVRC2012_val_00048792,n02356798,"(13, 60)","(559, 658)","fox squirrel, eastern fox squirrel, Sciurus niger"
ILSVRC2012_val_00048791,n01704323,"(0, 62)","(373, 498)",triceratops
ILSVRC2012_val_00048790,n13054560,"(50, 43)","(276, 237)",bolete
ILSVRC2012_val_00048789,n03141823,"(18, 90)","(561, 507)",crutch
ILSVRC2012_val_00048788,n07831146,"(51, 163)","(373, 385)",carbonara
ILSVRC2012_val_00048787,n03980874,"(1, 23)","(499, 361)",poncho
ILSVRC2012_val_00048786,n09468604,"(0, 3)","(498, 497)","valley, vale"
ILSVRC2012_val_00048785,n03594734,"(131, 17)","(302, 366)","jean, blue jean, denim"
ILSVRC2012_val_00048784,n04553703,"(195, 140)","(426, 300)","washbasin, handbasin, washbowl, lavabo, wash-hand basin"
ILSVRC2012_val_00048783,n02085936,"(11, 86)","(423, 284)","Maltese dog, Maltese terrier, Maltese"
ILSVRC2012_val_00048782,n04389033,"(7, 101)","(223, 267)","tank, army tank, armored combat vehicle, armoured combat vehicle"
ILSVRC2012_val_00048781,n02504458,"(68, 21)","(299, 236)","African elephant, Loxodonta africana"
ILSVRC2012_val_00048780,n02094114,"(121, 66)","(499, 374)",Norfolk terrier
ILSVRC2012_val_00048779,n02110341,"(179, 53)","(370, 374)","dalmatian, coach dog, carriage dog"
ILSVRC2012_val_00048778,n03141823,"(124, 17)","(280, 758)",crutch
ILSVRC2012_val_00048777,n12144580,"(310, 467)","(376, 562)",corn
ILSVRC2012_val_00048776,n03000134,"(0, 1)","(499, 373)",chainlink fence
ILSVRC2012_val_00048775,n02666196,"(23, 67)","(785, 307)",abacus
ILSVRC2012_val_00048774,n03776460,"(22, 179)","(422, 263)","mobile home, manufactured home"
ILSVRC2012_val_00048773,n02951358,"(170, 234)","(309, 321)",canoe
ILSVRC2012_val_00048772,n02992211,"(1, 0)","(499, 396)","cello, violoncello"
ILSVRC2012_val_00048771,n02412080,"(406, 204)","(462, 286)","ram, tup"
ILSVRC2012_val_00048770,n02100236,"(21, 81)","(305, 441)",German short-haired pointer
ILSVRC2012_val_00048769,n03871628,"(12, 1)","(494, 372)",packet
ILSVRC2012_val_00048768,n04149813,"(110, 103)","(397, 330)",scoreboard
ILSVRC2012_val_00048767,n04443257,"(10, 58)","(373, 495)","tobacco shop, tobacconist shop, tobacconist"
ILSVRC2012_val_00048766,n02165105,"(7, 14)","(446, 331)",tiger beetle
ILSVRC2012_val_00048765,n04065272,"(3, 89)","(405, 316)","recreational vehicle, RV, R.V."
ILSVRC2012_val_00048764,n02514041,"(96, 222)","(612, 409)","barracouta, snoek"
ILSVRC2012_val_00048763,n03134739,"(232, 144)","(327, 241)",croquet ball
ILSVRC2012_val_00048762,n03201208,"(67, 134)","(370, 331)","dining table, board"
ILSVRC2012_val_00048761,n02100735,"(0, 70)","(497, 332)",English setter
ILSVRC2012_val_00048760,n02112706,"(16, 0)","(291, 330)",Brabancon griffon
ILSVRC2012_val_00048759,n04019541,"(51, 47)","(477, 472)","puck, hockey puck"
ILSVRC2012_val_00048758,n04254120,"(36, 51)","(265, 498)",soap dispenser
ILSVRC2012_val_00048757,n02412080,"(0, 11)","(481, 340)","ram, tup"
ILSVRC2012_val_00048756,n02120505,"(1, 10)","(323, 498)","grey fox, gray fox, Urocyon cinereoargenteus"
ILSVRC2012_val_00048755,n03452741,"(152, 28)","(499, 374)","grand piano, grand"
ILSVRC2012_val_00048754,n01688243,"(0, 62)","(480, 392)","frilled lizard, Chlamydosaurus kingi"
ILSVRC2012_val_00048753,n03538406,"(107, 125)","(444, 362)","horse cart, horse-cart"
ILSVRC2012_val_00048752,n01873310,"(165, 153)","(258, 188)","platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus"
ILSVRC2012_val_00048751,n07734744,"(433, 113)","(490, 189)",mushroom
ILSVRC2012_val_00048750,n01755581,"(18, 76)","(481, 354)","diamondback, diamondback rattlesnake, Crotalus adamanteus"
ILSVRC2012_val_00048749,n01833805,"(48, 112)","(207, 287)",hummingbird
ILSVRC2012_val_00048748,n02105251,"(81, 32)","(288, 192)",briard
ILSVRC2012_val_00048747,n03657121,"(82, 208)","(368, 492)","lens cap, lens cover"
ILSVRC2012_val_00048746,n04550184,"(60, 49)","(376, 583)","wardrobe, closet, press"
ILSVRC2012_val_00048745,n03690938,"(138, 82)","(256, 324)",lotion
ILSVRC2012_val_00048744,n04522168,"(35, 26)","(355, 440)",vase
ILSVRC2012_val_00048743,n02268443,"(143, 108)","(373, 355)","dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk"
ILSVRC2012_val_00048742,n03837869,"(208, 150)","(412, 496)",obelisk
ILSVRC2012_val_00048741,n02481823,"(115, 19)","(387, 333)","chimpanzee, chimp, Pan troglodytes"
ILSVRC2012_val_00048740,n03871628,"(113, 60)","(252, 212)",packet
ILSVRC2012_val_00048739,n02797295,"(124, 236)","(322, 373)","barrow, garden cart, lawn cart, wheelbarrow"
ILSVRC2012_val_00048738,n04372370,"(188, 193)","(247, 292)","switch, electric switch, electrical switch"
ILSVRC2012_val_00048737,n02096437,"(94, 27)","(439, 295)","Dandie Dinmont, Dandie Dinmont terrier"
ILSVRC2012_val_00048736,n09835506,"(19, 65)","(310, 422)","ballplayer, baseball player"
ILSVRC2012_val_00048735,n02025239,"(45, 112)","(482, 360)","ruddy turnstone, Arenaria interpres"
ILSVRC2012_val_00048734,n03259280,"(78, 14)","(435, 346)",Dutch oven
ILSVRC2012_val_00048733,n04254777,"(129, 119)","(286, 352)",sock
ILSVRC2012_val_00048732,n01537544,"(158, 132)","(440, 332)","indigo bunting, indigo finch, indigo bird, Passerina cyanea"
ILSVRC2012_val_00048731,n04532106,"(61, 191)","(345, 466)",vestment
ILSVRC2012_val_00048730,n02747177,"(37, 103)","(361, 461)","ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin"
ILSVRC2012_val_00048729,n04192698,"(6, 9)","(545, 542)","shield, buckler"
ILSVRC2012_val_00048728,n12768682,"(255, 150)","(360, 243)","buckeye, horse chestnut, conker"
ILSVRC2012_val_00048727,n02017213,"(51, 32)","(452, 443)","European gallinule, Porphyrio porphyrio"
ILSVRC2012_val_00048726,n03016953,"(18, 16)","(471, 442)","chiffonier, commode"
ILSVRC2012_val_00048725,n02027492,"(18, 78)","(450, 373)","red-backed sandpiper, dunlin, Erolia alpina"
ILSVRC2012_val_00048724,n03710637,"(111, 151)","(254, 447)",maillot
ILSVRC2012_val_00048723,n02107312,"(181, 96)","(340, 304)",miniature pinscher
ILSVRC2012_val_00048722,n01807496,"(45, 23)","(393, 420)",partridge
ILSVRC2012_val_00048721,n04442312,"(177, 59)","(378, 283)",toaster
ILSVRC2012_val_00048720,n02099429,"(122, 82)","(414, 237)",curly-coated retriever
ILSVRC2012_val_00048719,n02606052,"(104, 87)","(626, 688)","rock beauty, Holocanthus tricolor"
ILSVRC2012_val_00048718,n02442845,"(179, 62)","(350, 333)",mink
ILSVRC2012_val_00048717,n02128757,"(1, 55)","(330, 448)","snow leopard, ounce, Panthera uncia"
ILSVRC2012_val_00048716,n02128925,"(25, 1)","(245, 369)","jaguar, panther, Panthera onca, Felis onca"
ILSVRC2012_val_00048715,n04254680,"(112, 0)","(597, 335)",soccer ball
ILSVRC2012_val_00048714,n01773797,"(15, 0)","(478, 498)","garden spider, Aranea diademata"
ILSVRC2012_val_00048713,n03786901,"(14, 3)","(279, 424)",mortar
ILSVRC2012_val_00048712,n04485082,"(86, 221)","(198, 498)",tripod
ILSVRC2012_val_00048711,n03794056,"(0, 21)","(480, 374)",mousetrap
ILSVRC2012_val_00048710,n01531178,"(135, 65)","(364, 348)","goldfinch, Carduelis carduelis"
ILSVRC2012_val_00048709,n03877472,"(0, 133)","(499, 332)","pajama, pyjama, pj's, jammies"
ILSVRC2012_val_00048708,n01770081,"(53, 33)","(441, 473)","harvestman, daddy longlegs, Phalangium opilio"
ILSVRC2012_val_00048707,n04591157,"(290, 266)","(340, 333)",Windsor tie
ILSVRC2012_val_00048706,n02412080,"(9, 0)","(492, 352)","ram, tup"
ILSVRC2012_val_00048705,n04418357,"(42, 29)","(472, 276)","theater curtain, theatre curtain"
ILSVRC2012_val_00048704,n03775546,"(339, 38)","(469, 143)",mixing bowl
ILSVRC2012_val_00048703,n03967562,"(168, 177)","(482, 314)","plow, plough"
ILSVRC2012_val_00048702,n03598930,"(87, 131)","(498, 364)",jigsaw puzzle
ILSVRC2012_val_00048701,n03459775,"(116, 313)","(360, 437)","grille, radiator grille"
ILSVRC2012_val_00048700,n01806143,"(131, 16)","(455, 392)",peacock
ILSVRC2012_val_00048699,n03494278,"(132, 192)","(379, 293)","harmonica, mouth organ, harp, mouth harp"
ILSVRC2012_val_00048698,n03777568,"(44, 6)","(474, 341)",Model T
ILSVRC2012_val_00048697,n03424325,"(132, 1)","(473, 374)","gasmask, respirator, gas helmet"
ILSVRC2012_val_00048696,n02276258,"(150, 105)","(353, 289)",admiral
ILSVRC2012_val_00048695,n04154565,"(128, 200)","(147, 248)",screwdriver
ILSVRC2012_val_00048694,n02100236,"(103, 87)","(286, 465)",German short-haired pointer
ILSVRC2012_val_00048693,n02114855,"(265, 73)","(412, 186)","coyote, prairie wolf, brush wolf, Canis latrans"
ILSVRC2012_val_00048692,n04366367,"(158, 183)","(498, 245)",suspension bridge
ILSVRC2012_val_00048691,n04147183,"(66, 0)","(591, 375)",schooner
ILSVRC2012_val_00048690,n04275548,"(19, 1)","(314, 374)","spider web, spider's web"
ILSVRC2012_val_00048689,n10565667,"(157, 20)","(318, 275)",scuba diver
ILSVRC2012_val_00048688,n02492660,"(93, 144)","(313, 379)","howler monkey, howler"
ILSVRC2012_val_00048687,n02264363,"(202, 63)","(299, 245)","lacewing, lacewing fly"
ILSVRC2012_val_00048686,n04310018,"(63, 0)","(387, 332)",steam locomotive
ILSVRC2012_val_00048685,n07873807,"(2, 1)","(499, 374)","pizza, pizza pie"
ILSVRC2012_val_00048684,n04350905,"(60, 172)","(400, 377)","suit, suit of clothes"
ILSVRC2012_val_00048683,n06785654,"(13, 0)","(424, 255)","crossword puzzle, crossword"
ILSVRC2012_val_00048682,n03196217,"(331, 173)","(484, 328)",digital clock
ILSVRC2012_val_00048681,n03126707,"(20, 52)","(499, 387)",crane
ILSVRC2012_val_00048680,n03843555,"(2, 60)","(232, 332)",oil filter
ILSVRC2012_val_00048679,n03710193,"(69, 54)","(290, 571)","mailbox, letter box"
ILSVRC2012_val_00048678,n03272562,"(64, 103)","(499, 381)",electric locomotive
ILSVRC2012_val_00048677,n12768682,"(253, 62)","(359, 196)","buckeye, horse chestnut, conker"
ILSVRC2012_val_00048676,n02168699,"(96, 0)","(464, 318)","long-horned beetle, longicorn, longicorn beetle"
ILSVRC2012_val_00048675,n01694178,"(1, 68)","(410, 301)","African chameleon, Chamaeleo chamaeleon"
ILSVRC2012_val_00048674,n09193705,"(181, 81)","(499, 222)",alp
ILSVRC2012_val_00048673,n03482405,"(26, 3)","(490, 373)",hamper
ILSVRC2012_val_00048672,n02974003,"(300, 255)","(423, 362)",car wheel
ILSVRC2012_val_00048671,n07753275,"(167, 41)","(338, 301)","pineapple, ananas"
ILSVRC2012_val_00048670,n02391049,"(0, 126)","(286, 332)",zebra
ILSVRC2012_val_00048669,n02356798,"(152, 34)","(237, 191)","fox squirrel, eastern fox squirrel, Sciurus niger"
ILSVRC2012_val_00048668,n04251144,"(203, 209)","(259, 334)",snorkel
ILSVRC2012_val_00048667,n02808304,"(67, 96)","(422, 183)",bath towel
ILSVRC2012_val_00048666,n02006656,"(101, 56)","(428, 368)",spoonbill
ILSVRC2012_val_00048665,n04243546,"(0, 0)","(498, 374)","slot, one-armed bandit"
ILSVRC2012_val_00048664,n02051845,"(85, 115)","(371, 495)",pelican
ILSVRC2012_val_00048663,n02104365,"(135, 326)","(246, 455)",schipperke
ILSVRC2012_val_00048662,n02487347,"(61, 33)","(242, 290)",macaque
ILSVRC2012_val_00048661,n02104029,"(138, 99)","(333, 228)",kuvasz
ILSVRC2012_val_00048660,n02667093,"(50, 106)","(119, 304)",abaya
ILSVRC2012_val_00048659,n01537544,"(74, 105)","(224, 360)","indigo bunting, indigo finch, indigo bird, Passerina cyanea"
ILSVRC2012_val_00048658,n01883070,"(98, 117)","(330, 269)",wombat
ILSVRC2012_val_00048657,n04532106,"(0, 0)","(265, 374)",vestment
ILSVRC2012_val_00048656,n03937543,"(69, 2)","(361, 227)",pill bottle
ILSVRC2012_val_00048655,n03657121,"(166, 426)","(265, 477)","lens cap, lens cover"
ILSVRC2012_val_00048654,n02927161,"(1, 0)","(499, 374)","butcher shop, meat market"
ILSVRC2012_val_00048653,n04371774,"(221, 0)","(478, 294)",swing
ILSVRC2012_val_00048652,n02096294,"(41, 6)","(442, 308)",Australian terrier
ILSVRC2012_val_00048651,n03903868,"(67, 186)","(499, 374)","pedestal, plinth, footstall"
ILSVRC2012_val_00048650,n02105855,"(167, 230)","(271, 343)","Shetland sheepdog, Shetland sheep dog, Shetland"
ILSVRC2012_val_00048649,n01775062,"(82, 0)","(443, 405)","wolf spider, hunting spider"
ILSVRC2012_val_00048648,n03594734,"(0, 15)","(499, 374)","jean, blue jean, denim"
ILSVRC2012_val_00048647,n02417914,"(133, 79)","(220, 174)","ibex, Capra ibex"
ILSVRC2012_val_00048646,n03998194,"(401, 225)","(499, 374)","prayer rug, prayer mat"
ILSVRC2012_val_00048645,n04456115,"(207, 57)","(259, 223)",torch
ILSVRC2012_val_00048644,n02051845,"(211, 98)","(403, 202)",pelican
