filename,cls,xymin,xymax,names
ILSVRC2012_val_00049698,n02906734,"(57, 115)","(125, 498)",broom
ILSVRC2012_val_00049697,n07873807,"(241, 347)","(452, 444)","pizza, pizza pie"
ILSVRC2012_val_00049696,n02655020,"(4, 15)","(468, 374)","puffer, pufferfish, blowfish, globefish"
ILSVRC2012_val_00049695,n04509417,"(152, 296)","(193, 413)","unicycle, monocycle"
ILSVRC2012_val_00049694,n02793495,"(42, 76)","(419, 297)",barn
ILSVRC2012_val_00049693,n03935335,"(77, 77)","(307, 348)","piggy bank, penny bank"
ILSVRC2012_val_00049692,n02825657,"(191, 27)","(284, 300)","bell cote, bell cot"
ILSVRC2012_val_00049691,n03127747,"(18, 38)","(497, 410)",crash helmet
ILSVRC2012_val_00049690,n02823428,"(206, 1)","(499, 303)",beer bottle
ILSVRC2012_val_00049689,n03014705,"(65, 84)","(424, 380)",chest
ILSVRC2012_val_00049688,n12985857,"(58, 64)","(354, 399)",coral fungus
ILSVRC2012_val_00049687,n03998194,"(35, 75)","(441, 374)","prayer rug, prayer mat"
ILSVRC2012_val_00049686,n01985128,"(5, 32)","(322, 380)","crayfish, crawfish, crawdad, crawdaddy"
ILSVRC2012_val_00049685,n07590611,"(34, 0)","(462, 342)","hot pot, hotpot"
ILSVRC2012_val_00049684,n02328150,"(8, 211)","(172, 391)","Angora, Angora rabbit"
ILSVRC2012_val_00049683,n03255030,"(127, 323)","(211, 393)",dumbbell
ILSVRC2012_val_00049682,n01819313,"(42, 26)","(355, 436)","sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita"
ILSVRC2012_val_00049681,n04409515,"(231, 241)","(256, 270)",tennis ball
ILSVRC2012_val_00049680,n03942813,"(224, 90)","(280, 149)",ping-pong ball
ILSVRC2012_val_00049679,n01917289,"(105, 59)","(463, 361)",brain coral
ILSVRC2012_val_00049678,n03717622,"(3, 2)","(491, 497)",manhole cover
ILSVRC2012_val_00049677,n07760859,"(135, 107)","(374, 302)",custard apple
ILSVRC2012_val_00049676,n04141076,"(193, 128)","(233, 306)","sax, saxophone"
ILSVRC2012_val_00049675,n04285008,"(50, 182)","(335, 397)","sports car, sport car"
ILSVRC2012_val_00049674,n03785016,"(21, 16)","(467, 291)",moped
ILSVRC2012_val_00049673,n02808440,"(0, 301)","(414, 470)","bathtub, bathing tub, bath, tub"
ILSVRC2012_val_00049672,n02099712,"(43, 36)","(321, 498)",Labrador retriever
ILSVRC2012_val_00049671,n02965783,"(98, 22)","(420, 273)",car mirror
ILSVRC2012_val_00049670,n02966193,"(78, 118)","(494, 364)","carousel, carrousel, merry-go-round, roundabout, whirligig"
ILSVRC2012_val_00049669,n01601694,"(285, 213)","(382, 288)","water ouzel, dipper"
ILSVRC2012_val_00049668,n04486054,"(27, 0)","(469, 320)",triumphal arch
ILSVRC2012_val_00049667,n02093859,"(0, 0)","(492, 331)",Kerry blue terrier
ILSVRC2012_val_00049666,n04599235,"(16, 27)","(355, 482)","wool, woolen, woollen"
ILSVRC2012_val_00049665,n01806143,"(27, 241)","(366, 358)",peacock
ILSVRC2012_val_00049664,n02676566,"(150, 185)","(491, 370)",acoustic guitar
ILSVRC2012_val_00049663,n04335435,"(134, 126)","(376, 259)","streetcar, tram, tramcar, trolley, trolley car"
ILSVRC2012_val_00049662,n04344873,"(0, 106)","(373, 482)","studio couch, day bed"
ILSVRC2012_val_00049661,n01985128,"(1, 1)","(499, 319)","crayfish, crawfish, crawdad, crawdaddy"
ILSVRC2012_val_00049660,n04467665,"(22, 1)","(467, 389)","trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi"
ILSVRC2012_val_00049659,n04265275,"(3, 2)","(495, 373)",space heater
ILSVRC2012_val_00049658,n03014705,"(18, 20)","(486, 489)",chest
ILSVRC2012_val_00049657,n01985128,"(137, 129)","(279, 256)","crayfish, crawfish, crawdad, crawdaddy"
ILSVRC2012_val_00049656,n04286575,"(135, 212)","(176, 383)","spotlight, spot"
ILSVRC2012_val_00049655,n03791053,"(55, 98)","(276, 283)","motor scooter, scooter"
ILSVRC2012_val_00049654,n02109961,"(297, 36)","(499, 374)","Eskimo dog, husky"
ILSVRC2012_val_00049653,n02097658,"(150, 185)","(355, 374)","silky terrier, Sydney silky"
ILSVRC2012_val_00049652,n01688243,"(191, 124)","(262, 257)","frilled lizard, Chlamydosaurus kingi"
ILSVRC2012_val_00049651,n13044778,"(116, 48)","(409, 308)",earthstar
ILSVRC2012_val_00049650,n02112706,"(2, 61)","(417, 374)",Brabancon griffon
ILSVRC2012_val_00049649,n02869837,"(20, 0)","(471, 478)","bonnet, poke bonnet"
ILSVRC2012_val_00049648,n03792972,"(43, 32)","(436, 330)",mountain tent
ILSVRC2012_val_00049647,n04149813,"(100, 74)","(385, 280)",scoreboard
ILSVRC2012_val_00049646,n01667114,"(28, 58)","(743, 960)",mud turtle
ILSVRC2012_val_00049645,n03944341,"(162, 121)","(248, 374)",pinwheel
ILSVRC2012_val_00049644,n13040303,"(155, 47)","(334, 390)","stinkhorn, carrion fungus"
ILSVRC2012_val_00049643,n02114855,"(72, 34)","(113, 129)","coyote, prairie wolf, brush wolf, Canis latrans"
ILSVRC2012_val_00049642,n02102177,"(13, 20)","(372, 488)",Welsh springer spaniel
ILSVRC2012_val_00049641,n02791270,"(80, 56)","(319, 321)",barbershop
ILSVRC2012_val_00049640,n02089973,"(14, 15)","(386, 307)",English foxhound
ILSVRC2012_val_00049639,n01622779,"(102, 56)","(259, 451)","great grey owl, great gray owl, Strix nebulosa"
ILSVRC2012_val_00049638,n02229544,"(174, 64)","(353, 300)",cricket
ILSVRC2012_val_00049637,n01641577,"(30, 109)","(498, 372)","bullfrog, Rana catesbeiana"
ILSVRC2012_val_00049636,n02441942,"(120, 148)","(219, 231)",weasel
ILSVRC2012_val_00049635,n01689811,"(172, 91)","(388, 218)",alligator lizard
ILSVRC2012_val_00049634,n03785016,"(79, 10)","(477, 374)",moped
ILSVRC2012_val_00049633,n03089624,"(0, 0)","(373, 498)","confectionery, confectionary, candy store"
ILSVRC2012_val_00049632,n04550184,"(23, 52)","(1597, 2275)","wardrobe, closet, press"
ILSVRC2012_val_00049631,n02129604,"(18, 115)","(378, 538)","tiger, Panthera tigris"
ILSVRC2012_val_00049630,n03000247,"(42, 26)","(604, 714)","chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour"
ILSVRC2012_val_00049629,n02117135,"(70, 30)","(436, 598)","hyena, hyaena"
ILSVRC2012_val_00049628,n02704792,"(63, 100)","(206, 190)","amphibian, amphibious vehicle"
ILSVRC2012_val_00049627,n02111129,"(23, 45)","(461, 464)",Leonberg
ILSVRC2012_val_00049626,n10565667,"(157, 45)","(387, 353)",scuba diver
ILSVRC2012_val_00049625,n03729826,"(224, 142)","(274, 321)",matchstick
ILSVRC2012_val_00049624,n02206856,"(131, 293)","(194, 410)",bee
ILSVRC2012_val_00049623,n02815834,"(66, 24)","(406, 339)",beaker
ILSVRC2012_val_00049622,n07565083,"(0, 0)","(373, 498)",menu
ILSVRC2012_val_00049621,n01872401,"(192, 122)","(339, 223)","echidna, spiny anteater, anteater"
ILSVRC2012_val_00049620,n03109150,"(1, 22)","(234, 217)","corkscrew, bottle screw"
ILSVRC2012_val_00049619,n02892201,"(20, 57)","(453, 295)","brass, memorial tablet, plaque"
ILSVRC2012_val_00049618,n02443114,"(150, 101)","(334, 342)","polecat, fitch, foulmart, foumart, Mustela putorius"
ILSVRC2012_val_00049617,n01443537,"(79, 147)","(397, 261)","goldfish, Carassius auratus"
ILSVRC2012_val_00049616,n04023962,"(56, 91)","(332, 493)","punching bag, punch bag, punching ball, punchball"
ILSVRC2012_val_00049615,n03180011,"(11, 234)","(424, 766)",desktop computer
ILSVRC2012_val_00049614,n02107142,"(1, 22)","(469, 469)","Doberman, Doberman pinscher"
ILSVRC2012_val_00049613,n02133161,"(31, 19)","(290, 397)","American black bear, black bear, Ursus americanus, Euarctos americanus"
ILSVRC2012_val_00049612,n03930630,"(11, 40)","(486, 348)","pickup, pickup truck"
ILSVRC2012_val_00049611,n02167151,"(18, 78)","(553, 388)","ground beetle, carabid beetle"
ILSVRC2012_val_00049610,n04266014,"(85, 4)","(277, 302)",space shuttle
ILSVRC2012_val_00049609,n01737021,"(40, 52)","(478, 348)",water snake
ILSVRC2012_val_00049608,n03355925,"(220, 33)","(305, 343)","flagpole, flagstaff"
ILSVRC2012_val_00049607,n07248320,"(27, 32)","(367, 473)","book jacket, dust cover, dust jacket, dust wrapper"
ILSVRC2012_val_00049606,n07753592,"(11, 37)","(391, 308)",banana
ILSVRC2012_val_00049605,n02389026,"(136, 3)","(430, 498)",sorrel
ILSVRC2012_val_00049604,n02088364,"(1, 116)","(362, 374)",beagle
ILSVRC2012_val_00049603,n02486410,"(13, 42)","(290, 498)",baboon
ILSVRC2012_val_00049602,n01695060,"(2, 72)","(469, 374)","Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis"
ILSVRC2012_val_00049601,n03666591,"(157, 57)","(260, 428)","lighter, light, igniter, ignitor"
ILSVRC2012_val_00049600,n03920288,"(66, 73)","(388, 318)",Petri dish
ILSVRC2012_val_00049599,n02782093,"(41, 29)","(259, 305)",balloon
ILSVRC2012_val_00049598,n01980166,"(139, 42)","(499, 270)",fiddler crab
ILSVRC2012_val_00049597,n03792972,"(8, 42)","(448, 315)",mountain tent
ILSVRC2012_val_00049596,n03085013,"(52, 72)","(402, 309)","computer keyboard, keypad"
ILSVRC2012_val_00049595,n01797886,"(56, 102)","(192, 450)","ruffed grouse, partridge, Bonasa umbellus"
ILSVRC2012_val_00049594,n04542943,"(47, 48)","(493, 344)",waffle iron
ILSVRC2012_val_00049593,n03495258,"(58, 77)","(300, 480)",harp
ILSVRC2012_val_00049592,n07754684,"(171, 142)","(247, 322)","jackfruit, jak, jack"
ILSVRC2012_val_00049591,n02794156,"(5, 0)","(482, 464)",barometer
ILSVRC2012_val_00049590,n03482405,"(48, 70)","(452, 242)",hamper
ILSVRC2012_val_00049589,n02091467,"(99, 24)","(382, 374)","Norwegian elkhound, elkhound"
ILSVRC2012_val_00049588,n04254777,"(340, 128)","(472, 334)",sock
ILSVRC2012_val_00049587,n04153751,"(43, 11)","(84, 36)",screw
ILSVRC2012_val_00049586,n02100735,"(8, 36)","(742, 499)",English setter
ILSVRC2012_val_00049585,n01443537,"(69, 65)","(418, 280)","goldfish, Carassius auratus"
ILSVRC2012_val_00049584,n01806143,"(125, 103)","(262, 361)",peacock
ILSVRC2012_val_00049583,n04482393,"(278, 245)","(425, 442)","tricycle, trike, velocipede"
ILSVRC2012_val_00049582,n04069434,"(145, 48)","(206, 110)",reflex camera
ILSVRC2012_val_00049581,n02415577,"(0, 86)","(432, 371)","bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis"
ILSVRC2012_val_00049580,n03218198,"(79, 169)","(131, 233)","dogsled, dog sled, dog sleigh"
ILSVRC2012_val_00049579,n03045698,"(227, 5)","(452, 314)",cloak
ILSVRC2012_val_00049578,n02165105,"(20, 51)","(465, 487)",tiger beetle
ILSVRC2012_val_00049577,n02606052,"(142, 89)","(728, 757)","rock beauty, Holocanthus tricolor"
ILSVRC2012_val_00049576,n02317335,"(110, 131)","(257, 253)","starfish, sea star"
ILSVRC2012_val_00049575,n02687172,"(0, 322)","(499, 374)","aircraft carrier, carrier, flattop, attack aircraft carrier"
ILSVRC2012_val_00049574,n02108000,"(45, 16)","(149, 127)",EntleBucher
ILSVRC2012_val_00049573,n03786901,"(0, 0)","(445, 297)",mortar
ILSVRC2012_val_00049572,n02687172,"(34, 77)","(498, 408)","aircraft carrier, carrier, flattop, attack aircraft carrier"
ILSVRC2012_val_00049571,n04404412,"(177, 86)","(406, 233)","television, television system"
ILSVRC2012_val_00049570,n02108089,"(10, 68)","(499, 374)",boxer
ILSVRC2012_val_00049569,n03250847,"(67, 226)","(314, 452)",drumstick
ILSVRC2012_val_00049568,n01530575,"(88, 152)","(282, 265)","brambling, Fringilla montifringilla"
ILSVRC2012_val_00049567,n04482393,"(30, 158)","(255, 358)","tricycle, trike, velocipede"
ILSVRC2012_val_00049566,n04597913,"(70, 160)","(428, 256)",wooden spoon
ILSVRC2012_val_00049565,n03781244,"(0, 29)","(498, 399)",monastery
ILSVRC2012_val_00049564,n04485082,"(166, 39)","(338, 269)",tripod
ILSVRC2012_val_00049563,n04560804,"(0, 136)","(128, 310)",water jug
ILSVRC2012_val_00049562,n02415577,"(104, 64)","(354, 332)","bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis"
ILSVRC2012_val_00049561,n04254777,"(19, 0)","(499, 332)",sock
ILSVRC2012_val_00049560,n02643566,"(6, 6)","(491, 305)",lionfish
ILSVRC2012_val_00049559,n04367480,"(187, 11)","(458, 781)","swab, swob, mop"
ILSVRC2012_val_00049558,n02098413,"(163, 83)","(499, 311)","Lhasa, Lhasa apso"
ILSVRC2012_val_00049557,n03759954,"(35, 225)","(112, 498)","microphone, mike"
ILSVRC2012_val_00049556,n02963159,"(31, 73)","(302, 458)",cardigan
ILSVRC2012_val_00049555,n13133613,"(344, 60)","(471, 446)","ear, spike, capitulum"
ILSVRC2012_val_00049554,n03532672,"(213, 417)","(236, 461)","hook, claw"
ILSVRC2012_val_00049553,n01843383,"(31, 79)","(499, 374)",toucan
ILSVRC2012_val_00049552,n02930766,"(77, 154)","(437, 327)","cab, hack, taxi, taxicab"
ILSVRC2012_val_00049551,n04596742,"(2, 41)","(496, 495)",wok
ILSVRC2012_val_00049550,n04596742,"(97, 266)","(211, 310)",wok
ILSVRC2012_val_00049549,n09332890,"(0, 3)","(498, 245)","lakeside, lakeshore"
ILSVRC2012_val_00049548,n02825657,"(233, 225)","(278, 278)","bell cote, bell cot"
ILSVRC2012_val_00049547,n07880968,"(42, 0)","(496, 374)",burrito
ILSVRC2012_val_00049546,n04548280,"(237, 102)","(294, 133)",wall clock
ILSVRC2012_val_00049545,n02442845,"(315, 222)","(490, 291)",mink
ILSVRC2012_val_00049544,n03485407,"(180, 103)","(1252, 903)","hand-held computer, hand-held microcomputer"
ILSVRC2012_val_00049543,n02981792,"(207, 63)","(475, 271)",catamaran
ILSVRC2012_val_00049542,n01749939,"(204, 2)","(499, 273)",green mamba
ILSVRC2012_val_00049541,n01755581,"(152, 82)","(499, 374)","diamondback, diamondback rattlesnake, Crotalus adamanteus"
ILSVRC2012_val_00049540,n03763968,"(141, 4)","(312, 334)",military uniform
ILSVRC2012_val_00049539,n04357314,"(48, 92)","(298, 333)","sunscreen, sunblock, sun blocker"
ILSVRC2012_val_00049538,n03658185,"(259, 88)","(450, 360)","letter opener, paper knife, paperknife"
ILSVRC2012_val_00049537,n04479046,"(78, 175)","(282, 475)",trench coat
ILSVRC2012_val_00049536,n03954731,"(36, 42)","(763, 613)","plane, carpenter's plane, woodworking plane"
ILSVRC2012_val_00049535,n01776313,"(18, 0)","(399, 279)",tick
ILSVRC2012_val_00049534,n02116738,"(32, 8)","(493, 477)","African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus"
ILSVRC2012_val_00049533,n04540053,"(205, 112)","(287, 199)",volleyball
ILSVRC2012_val_00049532,n03814906,"(38, 45)","(428, 472)",necklace
ILSVRC2012_val_00049531,n01614925,"(15, 12)","(377, 451)","bald eagle, American eagle, Haliaeetus leucocephalus"
ILSVRC2012_val_00049530,n07697537,"(80, 161)","(305, 456)","hotdog, hot dog, red hot"
ILSVRC2012_val_00049529,n03291819,"(35, 10)","(481, 319)",envelope
ILSVRC2012_val_00049528,n04259630,"(0, 77)","(336, 353)",sombrero
ILSVRC2012_val_00049527,n07584110,"(30, 0)","(489, 374)",consomme
ILSVRC2012_val_00049526,n03759954,"(223, 27)","(499, 374)","microphone, mike"
ILSVRC2012_val_00049525,n03930630,"(19, 45)","(488, 264)","pickup, pickup truck"
ILSVRC2012_val_00049524,n13054560,"(42, 85)","(271, 329)",bolete
ILSVRC2012_val_00049523,n02102040,"(26, 15)","(481, 367)","English springer, English springer spaniel"
ILSVRC2012_val_00049522,n01914609,"(163, 109)","(384, 306)","sea anemone, anemone"
ILSVRC2012_val_00049521,n02037110,"(57, 97)","(287, 308)","oystercatcher, oyster catcher"
ILSVRC2012_val_00049520,n03876231,"(27, 372)","(83, 498)",paintbrush
ILSVRC2012_val_00049519,n03447447,"(66, 0)","(308, 498)",gondola
ILSVRC2012_val_00049518,n04259630,"(1, 20)","(195, 146)",sombrero
ILSVRC2012_val_00049517,n02120079,"(187, 42)","(429, 382)","Arctic fox, white fox, Alopex lagopus"
ILSVRC2012_val_00049516,n02088632,"(80, 55)","(298, 462)",bluetick
ILSVRC2012_val_00049515,n01742172,"(1, 35)","(498, 436)","boa constrictor, Constrictor constrictor"
ILSVRC2012_val_00049514,n02869837,"(88, 92)","(240, 300)","bonnet, poke bonnet"
ILSVRC2012_val_00049513,n02442845,"(103, 100)","(402, 291)",mink
ILSVRC2012_val_00049512,n04542943,"(0, 108)","(318, 374)",waffle iron
ILSVRC2012_val_00049511,n02110341,"(175, 137)","(499, 374)","dalmatian, coach dog, carriage dog"
ILSVRC2012_val_00049510,n02808440,"(3, 2)","(495, 495)","bathtub, bathing tub, bath, tub"
ILSVRC2012_val_00049509,n04235860,"(22, 242)","(331, 498)",sleeping bag
ILSVRC2012_val_00049508,n02317335,"(4, 0)","(355, 328)","starfish, sea star"
ILSVRC2012_val_00049507,n03764736,"(105, 115)","(305, 396)",milk can
ILSVRC2012_val_00049506,n03764736,"(42, 0)","(307, 483)",milk can
ILSVRC2012_val_00049505,n03933933,"(2, 1)","(498, 374)",pier
ILSVRC2012_val_00049504,n02321529,"(115, 30)","(384, 316)","sea cucumber, holothurian"
ILSVRC2012_val_00049503,n02992529,"(40, 90)","(306, 351)","cellular telephone, cellular phone, cellphone, cell, mobile phone"
ILSVRC2012_val_00049502,n03721384,"(1, 104)","(498, 371)","marimba, xylophone"
ILSVRC2012_val_00049501,n03617480,"(60, 100)","(311, 498)",kimono
ILSVRC2012_val_00049500,n12998815,"(98, 30)","(394, 356)",agaric
ILSVRC2012_val_00049499,n02276258,"(55, 67)","(338, 315)",admiral
ILSVRC2012_val_00049498,n02107574,"(141, 53)","(367, 360)",Greater Swiss Mountain dog
ILSVRC2012_val_00049497,n07684084,"(300, 301)","(499, 374)",French loaf
ILSVRC2012_val_00049496,n04277352,"(2, 112)","(396, 363)",spindle
ILSVRC2012_val_00049495,n01704323,"(0, 46)","(453, 369)",triceratops
ILSVRC2012_val_00049494,n02974003,"(68, 52)","(363, 318)",car wheel
ILSVRC2012_val_00049493,n03495258,"(27, 37)","(186, 373)",harp
ILSVRC2012_val_00049492,n03220513,"(110, 38)","(483, 292)",dome
ILSVRC2012_val_00049491,n03481172,"(4, 123)","(114, 376)",hammer
ILSVRC2012_val_00049490,n07747607,"(43, 0)","(402, 373)",orange
ILSVRC2012_val_00049489,n02815834,"(0, 1)","(332, 452)",beaker
ILSVRC2012_val_00049488,n02009229,"(48, 51)","(339, 488)","little blue heron, Egretta caerulea"
ILSVRC2012_val_00049487,n04429376,"(267, 226)","(307, 290)",throne
ILSVRC2012_val_00049486,n03742115,"(100, 1)","(205, 191)","medicine chest, medicine cabinet"
ILSVRC2012_val_00049485,n02093256,"(47, 49)","(460, 315)","Staffordshire bullterrier, Staffordshire bull terrier"
ILSVRC2012_val_00049484,n02111129,"(25, 56)","(342, 274)",Leonberg
ILSVRC2012_val_00049483,n02127052,"(3, 38)","(226, 355)","lynx, catamount"
ILSVRC2012_val_00049482,n03089624,"(0, 4)","(498, 373)","confectionery, confectionary, candy store"
ILSVRC2012_val_00049481,n04116512,"(215, 227)","(247, 258)","rubber eraser, rubber, pencil eraser"
ILSVRC2012_val_00049480,n02018795,"(7, 57)","(476, 498)",bustard
ILSVRC2012_val_00049479,n03691459,"(9, 24)","(177, 312)","loudspeaker, speaker, speaker unit, loudspeaker system, speaker system"
ILSVRC2012_val_00049478,n01773797,"(0, 11)","(455, 401)","garden spider, Aranea diademata"
ILSVRC2012_val_00049477,n02129165,"(278, 41)","(614, 399)","lion, king of beasts, Panthera leo"
ILSVRC2012_val_00049476,n03871628,"(333, 205)","(490, 405)",packet
ILSVRC2012_val_00049475,n03095699,"(95, 33)","(236, 137)","container ship, containership, container vessel"
ILSVRC2012_val_00049474,n03400231,"(0, 53)","(297, 498)","frying pan, frypan, skillet"
ILSVRC2012_val_00049473,n04179913,"(5, 15)","(499, 345)",sewing machine
ILSVRC2012_val_00049472,n07697313,"(23, 2)","(499, 374)",cheeseburger
ILSVRC2012_val_00049471,n02128385,"(66, 0)","(284, 234)","leopard, Panthera pardus"
ILSVRC2012_val_00049470,n04044716,"(0, 41)","(499, 374)","radio telescope, radio reflector"
ILSVRC2012_val_00049469,n02802426,"(185, 61)","(217, 100)",basketball
ILSVRC2012_val_00049468,n03535780,"(2, 2)","(207, 56)","horizontal bar, high bar"
ILSVRC2012_val_00049467,n04442312,"(327, 276)","(400, 353)",toaster
ILSVRC2012_val_00049466,n01774750,"(15, 8)","(498, 337)",tarantula
ILSVRC2012_val_00049465,n02804414,"(92, 38)","(401, 374)",bassinet
ILSVRC2012_val_00049464,n03992509,"(5, 124)","(337, 279)",potter's wheel
ILSVRC2012_val_00049463,n02808304,"(5, 9)","(490, 474)",bath towel
ILSVRC2012_val_00049462,n02488291,"(43, 120)","(328, 279)",langur
ILSVRC2012_val_00049461,n01917289,"(64, 121)","(403, 374)",brain coral
ILSVRC2012_val_00049460,n02279972,"(65, 25)","(299, 290)","monarch, monarch butterfly, milkweed butterfly, Danaus plexippus"
ILSVRC2012_val_00049459,n04200800,"(0, 0)","(499, 374)","shoe shop, shoe-shop, shoe store"
ILSVRC2012_val_00049458,n03196217,"(23, 306)","(295, 436)",digital clock
ILSVRC2012_val_00049457,n07697313,"(138, 134)","(347, 354)",cheeseburger
ILSVRC2012_val_00049456,n02910353,"(235, 8)","(427, 218)",buckle
ILSVRC2012_val_00049455,n04152593,"(14, 1)","(499, 388)","screen, CRT screen"
ILSVRC2012_val_00049454,n04389033,"(10, 8)","(484, 351)","tank, army tank, armored combat vehicle, armoured combat vehicle"
ILSVRC2012_val_00049453,n04548362,"(19, 166)","(463, 359)","wallet, billfold, notecase, pocketbook"
ILSVRC2012_val_00049452,n04208210,"(219, 205)","(353, 320)",shovel
ILSVRC2012_val_00049451,n04026417,"(0, 22)","(498, 408)",purse
ILSVRC2012_val_00049450,n04200800,"(285, 245)","(470, 478)","shoe shop, shoe-shop, shoe store"
ILSVRC2012_val_00049449,n03924679,"(21, 21)","(798, 598)",photocopier
ILSVRC2012_val_00049448,n01748264,"(92, 97)","(781, 463)","Indian cobra, Naja naja"
ILSVRC2012_val_00049447,n04523525,"(86, 16)","(396, 309)",vault
ILSVRC2012_val_00049446,n07892512,"(101, 195)","(401, 426)",red wine
ILSVRC2012_val_00049445,n04371774,"(260, 85)","(318, 263)",swing
ILSVRC2012_val_00049444,n02009229,"(116, 66)","(367, 475)","little blue heron, Egretta caerulea"
ILSVRC2012_val_00049443,n02607072,"(26, 45)","(420, 430)",anemone fish
ILSVRC2012_val_00049442,n02268853,"(44, 44)","(374, 320)",damselfly
ILSVRC2012_val_00049441,n03887697,"(18, 31)","(322, 258)",paper towel
ILSVRC2012_val_00049440,n01978455,"(101, 29)","(481, 229)","rock crab, Cancer irroratus"
ILSVRC2012_val_00049439,n03781244,"(3, 0)","(499, 374)",monastery
ILSVRC2012_val_00049438,n02727426,"(30, 196)","(335, 498)","apiary, bee house"
ILSVRC2012_val_00049437,n04335435,"(274, 123)","(392, 339)","streetcar, tram, tramcar, trolley, trolley car"
ILSVRC2012_val_00049436,n11939491,"(61, 23)","(356, 340)",daisy
ILSVRC2012_val_00049435,n02109047,"(76, 53)","(486, 336)",Great Dane
ILSVRC2012_val_00049434,n03982430,"(13, 88)","(456, 374)","pool table, billiard table, snooker table"
ILSVRC2012_val_00049433,n04483307,"(458, 3)","(1116, 1080)",trimaran
ILSVRC2012_val_00049432,n04476259,"(20, 4)","(482, 459)",tray
ILSVRC2012_val_00049431,n03794056,"(84, 27)","(348, 311)",mousetrap
ILSVRC2012_val_00049430,n02704792,"(136, 64)","(624, 339)","amphibian, amphibious vehicle"
ILSVRC2012_val_00049429,n04239074,"(1, 1)","(187, 490)",sliding door
ILSVRC2012_val_00049428,n03942813,"(137, 277)","(164, 304)",ping-pong ball
ILSVRC2012_val_00049427,n04285008,"(28, 109)","(483, 317)","sports car, sport car"
ILSVRC2012_val_00049426,n02138441,"(227, 48)","(355, 358)","meerkat, mierkat"
ILSVRC2012_val_00049425,n02504013,"(1, 9)","(242, 165)","Indian elephant, Elephas maximus"
ILSVRC2012_val_00049424,n04398044,"(43, 9)","(762, 504)",teapot
ILSVRC2012_val_00049423,n04154565,"(261, 199)","(499, 276)",screwdriver
ILSVRC2012_val_00049422,n03891251,"(18, 91)","(371, 398)",park bench
ILSVRC2012_val_00049421,n02087046,"(117, 9)","(499, 332)",toy terrier
ILSVRC2012_val_00049420,n01695060,"(75, 130)","(499, 271)","Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis"
ILSVRC2012_val_00049419,n04019541,"(19, 295)","(36, 309)","puck, hockey puck"
ILSVRC2012_val_00049418,n02279972,"(15, 33)","(457, 306)","monarch, monarch butterfly, milkweed butterfly, Danaus plexippus"
ILSVRC2012_val_00049417,n02107683,"(110, 66)","(491, 370)",Bernese mountain dog
ILSVRC2012_val_00049416,n01847000,"(139, 111)","(422, 248)",drake
ILSVRC2012_val_00049415,n03347037,"(37, 33)","(381, 486)","fire screen, fireguard"
ILSVRC2012_val_00049414,n02086910,"(149, 87)","(363, 310)",papillon
ILSVRC2012_val_00049413,n02807133,"(92, 96)","(258, 235)","bathing cap, swimming cap"
ILSVRC2012_val_00049412,n04152593,"(46, 35)","(453, 388)","screen, CRT screen"
ILSVRC2012_val_00049411,n01990800,"(186, 153)","(289, 221)",isopod
ILSVRC2012_val_00049410,n01944390,"(103, 160)","(468, 308)",snail
ILSVRC2012_val_00049409,n04599235,"(36, 1)","(402, 291)","wool, woolen, woollen"
ILSVRC2012_val_00049408,n02096051,"(55, 38)","(328, 445)","Airedale, Airedale terrier"
ILSVRC2012_val_00049407,n07718747,"(58, 49)","(461, 295)","artichoke, globe artichoke"
ILSVRC2012_val_00049406,n04404412,"(155, 87)","(466, 295)","television, television system"
ILSVRC2012_val_00049405,n02086240,"(149, 72)","(465, 309)",Shih-Tzu
ILSVRC2012_val_00049404,n02490219,"(129, 102)","(277, 321)",marmoset
ILSVRC2012_val_00049403,n03662601,"(119, 130)","(796, 657)",lifeboat
ILSVRC2012_val_00049402,n03763968,"(184, 116)","(271, 399)",military uniform
ILSVRC2012_val_00049401,n04542943,"(200, 91)","(416, 295)",waffle iron
ILSVRC2012_val_00049400,n04409515,"(122, 80)","(363, 322)",tennis ball
ILSVRC2012_val_00049399,n02536864,"(395, 154)","(499, 281)","coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch"
ILSVRC2012_val_00049398,n04418357,"(43, 174)","(456, 374)","theater curtain, theatre curtain"
ILSVRC2012_val_00049397,n02110806,"(43, 3)","(430, 498)",basenji
ILSVRC2012_val_00049396,n12768682,"(217, 206)","(250, 246)","buckeye, horse chestnut, conker"
ILSVRC2012_val_00049395,n01704323,"(16, 102)","(417, 355)",triceratops
ILSVRC2012_val_00049394,n03400231,"(171, 118)","(425, 220)","frying pan, frypan, skillet"
ILSVRC2012_val_00049393,n04591713,"(338, 21)","(485, 382)",wine bottle
